dataset,family,severity,n_series,clamped_frac,clamped_lo_frac,clamped_hi_frac,series_any_clamped,scale_mean,nominal_p99,nominal_max,realized_p99,realized_max
monash_cif_2016,spikes_intensity,40.0,72,0.0,0.0,0.0,0.0,54355560.56146926,6.318648272090488,6.807528797123167,6.318648272090488,6.807528797123167
monash_cif_2016,spikes_density,0.01,72,0.0,0.0,0.0,0.0,41544060.73671237,2.06729856133461,4.2105035367939205,2.06729856133461,4.2105035367939205
monash_cif_2016,spikes_density,0.02,72,0.0002204585537918871,0.0,0.0002204585537918871,0.013888888888888888,41635129.60015719,3.0549823194742203,4.4710987293057975,3.044587978058391,4.443745283616914
monash_cif_2016,spikes_density,0.05,72,0.0,0.0,0.0,0.0,47028015.94230977,3.9620049628946514,4.419615899523099,3.9620049628946514,4.419615899523099
monash_cif_2016,spikes_density,0.08,72,0.0,0.0,0.0,0.0,47709096.93395679,3.9226843218008676,4.152347380916278,3.9226843218008676,4.152347380916278
monash_cif_2016,spikes_density,0.12,72,0.0,0.0,0.0,0.0,52224780.5958357,3.6563209344943366,3.74255709681246,3.6563209344943366,3.74255709681246
monash_cif_2016,spikes_density,0.16,72,0.0,0.0,0.0,0.0,61374399.140290074,3.41430887248781,3.4851348814037113,3.41430887248781,3.4851348814037113
monash_cif_2016,spikes_density,0.2,72,0.0,0.0,0.0,0.0,66531075.40747705,3.136283218860626,3.193691243728002,3.136283218860626,3.193691243728002
monash_cif_2016,spikes_density,0.3,72,0.0,0.0,0.0,0.0,76602085.95165306,2.6831187970108457,2.7205578635136285,2.6831187970108457,2.7205578635136285
monash_cif_2016,spikes_density,0.4,72,0.0,0.0,0.0,0.0,92462435.22957507,2.3791010263893337,2.403091882665952,2.3791010263893337,2.403091882665952
monash_cif_2016,drift,0.5,72,0.0,0.0,0.0,0.0,36906747.00892643,1.4385180473327637,1.477141527665986,1.4385180473327637,1.477141527665986
monash_cif_2016,drift,1.0,72,0.0,0.0,0.0,0.0,42426291.66649616,1.4475757628679276,1.486854589647717,1.4475757628679276,1.486854589647717
monash_cif_2016,drift,2.0,72,0.0,0.0,0.0,0.0,31616884.885388732,1.457777930630578,1.503106055988206,1.457777930630578,1.503106055988206
monash_cif_2016,drift,4.0,72,0.0,0.0,0.0,0.0,53188219.24090367,1.650492411520746,1.7185748898320727,1.650492411520746,1.7185748898320727
monash_cif_2016,drift,6.0,72,0.0,0.0,0.0,0.0,31089741.395236593,1.7589991506603029,1.813122472829289,1.7589991506603029,1.813122472829289
monash_cif_2016,drift,9.0,72,0.0,0.0,0.0,0.0,41169076.41180764,1.818068406648106,1.867763461338149,1.818068406648106,1.867763461338149
monash_cif_2016,drift,12.0,72,0.0,0.0,0.0,0.0,53077676.951389715,1.849981450372272,1.8896776487429936,1.849981450372272,1.8896776487429936
monash_cif_2016,drift,16.0,72,0.0,0.0,0.0,0.0,66421715.22861752,1.9128674450847838,1.9485679301950667,1.9128674450847838,1.9485679301950667
monash_cif_2016,drift,20.0,72,0.0,0.0,0.0,0.0,113339746.54907335,1.945768470565478,1.9797184036837683,1.945768470565478,1.9797184036837683
monash_cif_2016,drift,26.0,72,0.0,0.0,0.0,0.0,135941443.93478566,1.9848297817839518,2.0132969369490943,1.9848297817839518,2.0132969369490943
monash_cif_2016,drift,32.0,72,0.0,0.0,0.0,0.0,125253007.56390718,1.9652224431435268,1.9923218041658401,1.9652224431435268,1.9923218041658401
monash_cif_2016,drift_step,0.5,72,0.0,0.0,0.0,0.0,39816424.18540475,1.4465830143955019,1.483776299489869,1.4465830143955019,1.483776299489869
monash_cif_2016,drift_step,1.0,72,0.0,0.0,0.0,0.0,40909649.08883835,1.4731774429480236,1.5161592678891287,1.4731774429480236,1.5161592678891287
monash_cif_2016,drift_step,2.0,72,0.0,0.0,0.0,0.0,35532666.350212194,1.515160259273317,1.5551899721225102,1.515160259273317,1.5551899721225102
monash_cif_2016,drift_step,4.0,72,0.0,0.0,0.0,0.0,39656495.94596097,1.6984022839201822,1.7439567380481296,1.6984022839201822,1.7439567380481296
